--- Log Iniciado em 2026-02-09 09:41:57.200205 ---
Instance: TSP_50_cities, Run: 1/1
pool NEW BEST: 2819.1525865793205 - Time: 0.04s - 0
pool NEW BEST: 2552.348104728604 - Time: 0.07s - 1
pool NEW BEST: 2426.488973207201 - Time: 0.11s - 2
pool NEW BEST: 2323.42634550393 - Time: 0.36s - 9
pool NEW BEST: 2199.744796721585 - Time: 0.56s - 19
SA 0 NEW BEST: 2150.9576441372415 - Time: 2.63s - 20
SA 0 NEW BEST: 2132.3949849736455 - Time: 2.64s - 20
SA 0 NEW BEST: 2065.9231618268796 - Time: 2.64s - 20
SA 0 NEW BEST: 2054.6870092304293 - Time: 2.65s - 20
SA 0 NEW BEST: 2054.571187026312 - Time: 2.66s - 20
SA 0 NEW BEST: 2016.4652037108654 - Time: 2.66s - 20
SA 0 NEW BEST: 1975.020341383557 - Time: 2.67s - 20
SA 0 NEW BEST: 1961.7651169267933 - Time: 2.68s - 20
SA 0 NEW BEST: 1953.2541763851518 - Time: 2.69s - 20
SA 0 NEW BEST: 1934.467910039727 - Time: 2.69s - 20
SA 0 NEW BEST: 1905.8609475081703 - Time: 2.7s - 20
SA 0 NEW BEST: 1836.580194199494 - Time: 2.71s - 20
SA 0 NEW BEST: 1836.435664842089 - Time: 2.71s - 20
SA 0 NEW BEST: 1832.4893112490468 - Time: 2.72s - 20
SA 0 NEW BEST: 1823.378788719012 - Time: 2.72s - 20
SA 0 NEW BEST: 1802.2051476083373 - Time: 2.73s - 20
SA 0 NEW BEST: 1759.5874262405935 - Time: 2.74s - 20
SA 0 NEW BEST: 1756.3186682695098 - Time: 2.75s - 20
SA 0 NEW BEST: 1711.1177776626726 - Time: 2.76s - 20
SA 0 NEW BEST: 1703.254183784837 - Time: 2.76s - 20
SA 0 NEW BEST: 1694.6630625457863 - Time: 2.77s - 20
SA 0 NEW BEST: 1670.309361035161 - Time: 2.78s - 20
SA 0 NEW BEST: 1661.7833132326668 - Time: 2.79s - 20
SA 0 NEW BEST: 1658.3674729032216 - Time: 2.8s - 20
SA 0 NEW BEST: 1613.7331499073482 - Time: 2.8s - 20
SA 0 NEW BEST: 1602.4384202767253 - Time: 2.81s - 20
SA 0 NEW BEST: 1546.8155641503272 - Time: 2.82s - 20
SA 0 NEW BEST: 1533.4631083269528 - Time: 2.83s - 20
SA 0 NEW BEST: 1512.6316229635042 - Time: 2.84s - 20
SA 0 NEW BEST: 1493.150627412803 - Time: 2.84s - 20
SA 0 NEW BEST: 1473.8907963555123 - Time: 2.85s - 20
SA 0 NEW BEST: 1470.2567106299014 - Time: 2.86s - 20
SA 0 NEW BEST: 1469.422990552582 - Time: 2.87s - 20
SA 0 NEW BEST: 1469.340602461927 - Time: 2.87s - 20
SA 0 NEW BEST: 1462.620884746747 - Time: 2.89s - 20
SA 0 NEW BEST: 1450.5110355009447 - Time: 2.9s - 20
SA 0 NEW BEST: 1444.3200825689696 - Time: 2.9s - 20
SA 0 NEW BEST: 1443.9985257133508 - Time: 2.91s - 20
SA 0 NEW BEST: 1404.7637780507955 - Time: 2.92s - 20
SA 0 NEW BEST: 1347.6424177660508 - Time: 2.93s - 20
SA 0 NEW BEST: 1343.4192483095967 - Time: 2.93s - 20
SA 0 NEW BEST: 1314.6138133909892 - Time: 2.95s - 20
SA 0 NEW BEST: 1303.3188854840776 - Time: 2.95s - 20
SA 0 NEW BEST: 1302.7166719438687 - Time: 2.96s - 20
SA 0 NEW BEST: 1297.0290181111757 - Time: 2.97s - 20
SA 0 NEW BEST: 1292.2963222195285 - Time: 2.98s - 20
SA 0 NEW BEST: 1292.0888872736068 - Time: 3.0s - 20
SA 0 NEW BEST: 1279.5214537714846 - Time: 3.01s - 20
SA 0 NEW BEST: 1257.3686943129114 - Time: 3.02s - 20
SA 0 NEW BEST: 1239.2498070076463 - Time: 3.03s - 20
SA 0 NEW BEST: 1222.0126621617742 - Time: 3.05s - 20
SA 0 NEW BEST: 1221.669213292667 - Time: 3.06s - 20
SA 0 NEW BEST: 1214.4217969104905 - Time: 3.07s - 20
SA 0 NEW BEST: 1207.5685994585715 - Time: 3.09s - 20
SA 0 NEW BEST: 1197.5709134454273 - Time: 3.1s - 20
SA 0 NEW BEST: 1190.8156040228039 - Time: 3.1s - 20
SA 0 NEW BEST: 1175.6305093831766 - Time: 3.11s - 20
SA 0 NEW BEST: 1146.0685846651081 - Time: 3.12s - 20
SA 0 NEW BEST: 1130.1632779864005 - Time: 3.13s - 20
SA 0 NEW BEST: 1125.5836954805197 - Time: 3.13s - 20
SA 0 NEW BEST: 1112.3046523351043 - Time: 3.14s - 20
SA 0 NEW BEST: 1097.056384880116 - Time: 3.15s - 20
SA 0 NEW BEST: 1089.608561481335 - Time: 3.16s - 20
SA 0 NEW BEST: 1065.715183233398 - Time: 3.19s - 20
SA 0 NEW BEST: 1037.6863438124933 - Time: 3.22s - 20
SA 0 NEW BEST: 1035.2442365930667 - Time: 3.24s - 20
SA 0 NEW BEST: 1035.0166218779557 - Time: 3.25s - 20
SA 0 NEW BEST: 1032.0386709967422 - Time: 3.26s - 20
SA 0 NEW BEST: 1029.6274630230653 - Time: 3.27s - 20
SA 0 NEW BEST: 1024.1654740038812 - Time: 3.29s - 20
SA 0 NEW BEST: 1021.7791676077428 - Time: 3.31s - 20
SA 0 NEW BEST: 1017.74855570799 - Time: 3.34s - 20
SA 0 NEW BEST: 1012.8919751273903 - Time: 3.35s - 20
SA 0 NEW BEST: 1009.4768200260878 - Time: 3.36s - 20
SA 0 NEW BEST: 1009.1495410699474 - Time: 3.38s - 20
SA 0 NEW BEST: 1009.1495410699473 - Time: 3.4s - 20
SA 0 NEW BEST: 995.9144422371028 - Time: 3.41s - 20
SA 0 NEW BEST: 989.2492146454541 - Time: 3.42s - 20
SA 0 NEW BEST: 987.6892040125593 - Time: 3.43s - 20
SA 0 NEW BEST: 984.3211818962408 - Time: 3.45s - 20
