--- Log Iniciado em 2026-02-09 11:01:11.107868 ---
Instance: TSP_50_cities, Run: 1/1
pool NEW BEST: 2692.312609904272 - Time: 0.02s - 0
pool NEW BEST: 2679.7786886443764 - Time: 0.08s - 3
pool NEW BEST: 2569.5553420705314 - Time: 0.15s - 8
pool NEW BEST: 2528.142145237687 - Time: 0.17s - 9
pool NEW BEST: 2506.0717122674996 - Time: 0.21s - 11
pool NEW BEST: 2411.0712395276496 - Time: 0.32s - 19
SA 0 NEW BEST: 2392.9543921592604 - Time: 2.34s - 20
SA 0 NEW BEST: 2345.337263973538 - Time: 2.34s - 20
SA 0 NEW BEST: 2329.8222000004575 - Time: 2.35s - 20
SA 0 NEW BEST: 2230.4118991654354 - Time: 2.36s - 20
SA 0 NEW BEST: 2218.750363177373 - Time: 2.36s - 20
SA 0 NEW BEST: 2209.0626578771144 - Time: 2.37s - 20
SA 0 NEW BEST: 2148.4091006208796 - Time: 2.37s - 20
SA 0 NEW BEST: 2132.904353835166 - Time: 2.38s - 20
SA 0 NEW BEST: 2081.775825781973 - Time: 2.38s - 20
SA 0 NEW BEST: 2075.888285916327 - Time: 2.4s - 20
SA 0 NEW BEST: 2074.036194662893 - Time: 2.4s - 20
SA 0 NEW BEST: 2067.840822659637 - Time: 2.41s - 20
SA 0 NEW BEST: 2046.5455288384578 - Time: 2.41s - 20
SA 0 NEW BEST: 2044.002341276835 - Time: 2.42s - 20
SA 0 NEW BEST: 2029.9722119371663 - Time: 2.43s - 20
SA 0 NEW BEST: 1990.0493304509164 - Time: 2.43s - 20
SA 0 NEW BEST: 1945.755844040793 - Time: 2.44s - 20
SA 0 NEW BEST: 1945.366683484502 - Time: 2.45s - 20
SA 0 NEW BEST: 1940.7360055884767 - Time: 2.45s - 20
SA 0 NEW BEST: 1884.8483022318717 - Time: 2.46s - 20
SA 0 NEW BEST: 1809.695820782765 - Time: 2.47s - 20
SA 0 NEW BEST: 1798.1082450836782 - Time: 2.47s - 20
SA 0 NEW BEST: 1796.71259555087 - Time: 2.48s - 20
SA 0 NEW BEST: 1788.0196489490154 - Time: 2.48s - 20
SA 0 NEW BEST: 1771.0947428270601 - Time: 2.5s - 20
SA 0 NEW BEST: 1767.4807200376856 - Time: 2.5s - 20
SA 0 NEW BEST: 1702.3724917101763 - Time: 2.51s - 20
SA 0 NEW BEST: 1653.459065588977 - Time: 2.52s - 20
SA 0 NEW BEST: 1631.72326184245 - Time: 2.53s - 20
SA 0 NEW BEST: 1615.2708493187436 - Time: 2.54s - 20
SA 0 NEW BEST: 1600.616847253995 - Time: 2.54s - 20
SA 0 NEW BEST: 1598.088627534305 - Time: 2.55s - 20
SA 0 NEW BEST: 1597.7644779838786 - Time: 2.56s - 20
SA 0 NEW BEST: 1595.9931868052554 - Time: 2.58s - 20
SA 0 NEW BEST: 1587.5965354295793 - Time: 2.58s - 20
SA 0 NEW BEST: 1572.050660374388 - Time: 2.59s - 20
SA 0 NEW BEST: 1518.6161013676722 - Time: 2.6s - 20
SA 0 NEW BEST: 1497.9082418214432 - Time: 2.61s - 20
SA 0 NEW BEST: 1446.4868184053723 - Time: 2.62s - 20
SA 0 NEW BEST: 1444.9724834090264 - Time: 2.62s - 20
SA 0 NEW BEST: 1444.972483409026 - Time: 2.64s - 20
SA 0 NEW BEST: 1428.5623808459939 - Time: 2.66s - 20
SA 0 NEW BEST: 1396.6613149784346 - Time: 2.67s - 20
SA 0 NEW BEST: 1376.966225534986 - Time: 2.67s - 20
SA 0 NEW BEST: 1353.3732307575347 - Time: 2.68s - 20
SA 0 NEW BEST: 1329.8214745568196 - Time: 2.69s - 20
SA 0 NEW BEST: 1304.1950524487715 - Time: 2.7s - 20
SA 0 NEW BEST: 1296.2066211054423 - Time: 2.71s - 20
SA 0 NEW BEST: 1276.4985824045561 - Time: 2.72s - 20
